block,origin_id,origin_name,origin_place,origin_longitude,origin_latitude,origin_begindate,destination_id,destination_name,destination_place,destination_longitude,destination_latitude,destination_enddate,note_description
0,1825,Uberrimum sphere mundi commentum,Paris,2.351388888,48.85694444,1498,1825,Uberrimum sphere mundi commentum,Paris,2.351388888,48.85694444,1548,1
1,1825,Uberrimum sphere mundi commentum,Paris,2.351388888,48.85694444,1498,2153,Uberrimum sphere mundi comentum,Paris,2.351388888,48.85694444,1548,1
2,1801,Sphaera Iohannis de Sacro-Bosco,Leiden,4.494722222,52.15444444,1626,1801,Sphaera Iohannis de Sacro-Bosco,Leiden,4.494722222,52.15444444,1676,2
3,1801,Sphaera Iohannis de Sacro-Bosco,Leiden,4.494722222,52.15444444,1626,2189,Sphaera Iohannis de Sacro-Bosco,Leiden,4.494722222,52.15444444,1676,2
4,2189,Sphaera Iohannis de Sacro-Bosco,Leiden,4.494722222,52.15444444,1639,1799,Sphaera Iohannis de Sacro-Bosco,Leiden,4.494722222,52.15444444,1689,2
5,1799,Sphaera Iohannis de Sacro-Bosco,Leiden,4.494722222,52.15444444,1647,1800,Sphaera Johannis de Sacro-Bosco,Leiden,4.494722222,52.15444444,1697,2
6,1925,Sphaerae mundi compendium foeliciter inchoat,Venice,12.33194444,45.43972222,1490,1925,Sphaerae mundi compendium foeliciter inchoat,Venice,12.33194444,45.43972222,1540,3
7,1925,Sphaerae mundi compendium foeliciter inchoat,Venice,12.33194444,45.43972222,1491,1926,Sphaera mundi,Venice,12.33194444,45.43972222,1541,3
8,1926,Sphaera mundi,Venice,12.33194444,45.43972222,1501,1930,Sphaera mundi,Venice,12.33194444,45.43972222,1551,3
9,1930,Sphaera mundi,Venice,12.33194444,45.43972222,1513,1650,Spherae Mundi,Venice,12.33194444,45.43972222,1563,3
10,1650,Spherae Mundi,Venice,12.33194444,45.43972222,1519,1942,Spherae Mundi,Venice,12.33194444,45.43972222,1569,3
11,1942,Spherae Mundi,Venice,12.33194444,45.43972222,1537,1883,Liber Ioannis de Sacro Busto de sphaera,Venice,12.33194444,45.43972222,1587,3
12,1883,Liber Ioannis de Sacro Busto de sphaera,Venice,12.33194444,45.43972222,1537,1884,Liber Ioannis De Sacro Busto De Sphaera,Venice,12.33194444,45.43972222,1587,3
13,1884,Liber Ioannis De Sacro Busto De Sphaera,Venice,12.33194444,45.43972222,1541,1682,Liber Ioannis de Sacro Busto de sphaera,Venice,12.33194444,45.43972222,1591,3
14,1682,Liber Ioannis de Sacro Busto de sphaera,Venice,12.33194444,45.43972222,1545,1687,Liber Ioannis de Sacrobusto de sphaera,Venice,12.33194444,45.43972222,1595,3
15,1781,Quaestiones in libellum De sphaera Ioannis de Sacro Busto,Frankfurt (Main),8.679722222,50.11361111,1552,1781,Quaestiones in libellum De sphaera Ioannis de Sacro Busto,Frankfurt (Main),8.679722222,50.11361111,1602,4
16,1781,Quaestiones in libellum De sphaera Ioannis de Sacro Busto,Frankfurt (Main),8.679722222,50.11361111,1556,2104,Qvaestiones in libellum de sphaera Ioannis de Sacro Busto,Frankfurt (Main),8.679722222,50.11361111,1606,4
